Date ,Open,Close,Label
10/27/2010,"2,484.09","2,503.26",1
10/26/2010,"2,476.51","2,497.29",1
10/25/2010,"2,491.62","2,490.85",0
10/22/2010,"2,461.60","2,479.39",1
10/21/2010,"2,470.72","2,459.67",0
10/20/2010,"2,443.20","2,457.39",1
10/19/2010,"2,442.21","2,436.95",0
10/18/2010,"2,470.12","2,480.66",1
10/15/2010,"2,461.70","2,468.77",1
10/14/2010,"2,441.21","2,435.38",0
10/13/2010,"2,432.55","2,441.23",1
10/12/2010,"2,397.70","2,417.92",1
10/11/2010,"2,403.46","2,402.33",0
10/8/2010,"2,384.76","2,401.91",1
10/7/2010,"2,391.63","2,383.67",0
10/6/2010,"2,395.16","2,380.66",0
10/5/2010,"2,368.52","2,399.83",1
10/4/2010,"2,362.25","2,344.52",0
10/1/2010,"2,386.82","2,370.75",0
9/30/2010,"2,390.96","2,368.62",0
9/29/2010,"2,372.37","2,376.56",1
9/28/2010,"2,373.13","2,379.59",1
9/27/2010,"2,379.73","2,369.77",0
9/24/2010,"2,356.26","2,381.22",1
9/23/2010,"2,316.71","2,327.08",1
9/22/2010,"2,339.91","2,334.55",0
9/21/2010,"2,355.27","2,349.35",0
9/20/2010,"2,322.80","2,355.83",1
9/17/2010,"2,318.42","2,315.61",0
9/16/2010,"2,297.51","2,303.25",1
9/15/2010,"2,283.17","2,301.32",1
9/14/2010,"2,281.31","2,289.77",1
9/13/2010,"2,263.80","2,285.71",1
9/10/2010,"2,239.08","2,242.48",1
9/9/2010,"2,251.09","2,236.20",0
9/8/2010,"2,216.07","2,228.87",1
9/7/2010,"2,227.26","2,208.89",0
9/3/2010,"2,227.96","2,233.75",1
9/2/2010,"2,178.99","2,200.01",1
9/1/2010,"2,142.75","2,176.84",1
8/31/2010,"2,109.76","2,114.03",1
8/30/2010,"2,145.76","2,119.97",0
8/27/2010,"2,134.16","2,153.63",1
8/26/2010,"2,148.49","2,118.69",0
8/25/2010,"2,109.15","2,141.54",1
8/24/2010,"2,131.00","2,123.76",0
8/23/2010,"2,188.34","2,159.63",0
8/20/2010,"2,172.26","2,179.76",1
8/19/2010,"2,204.80","2,178.95",0
8/18/2010,"2,205.30","2,215.70",1
8/17/2010,"2,197.09","2,209.44",1
8/16/2010,"2,161.31","2,181.87",1
8/13/2010,"2,183.09","2,173.48",0
8/12/2010,"2,164.64","2,190.27",1
8/11/2010,"2,236.93","2,208.63",0
8/10/2010,"2,280.06","2,277.17",0
8/9/2010,"2,298.81","2,305.69",1
8/6/2010,"2,267.42","2,288.47",1
8/5/2010,"2,291.22","2,293.06",1
8/4/2010,"2,291.09","2,303.57",1
8/3/2010,"2,291.75","2,283.52",0
8/2/2010,"2,283.32","2,295.36",1
7/30/2010,"2,227.29","2,254.70",1
7/29/2010,"2,279.07","2,251.69",0
7/28/2010,"2,284.62","2,264.56",0
7/27/2010,"2,306.62","2,288.25",0
7/26/2010,"2,271.62","2,296.43",1
7/23/2010,"2,234.34","2,269.47",1
7/22/2010,"2,216.04","2,245.89",1
7/21/2010,"2,236.13","2,187.33",0
7/20/2010,"2,165.35","2,222.49",1
7/19/2010,"2,185.81","2,198.23",1
7/16/2010,"2,231.71","2,179.05",0
7/15/2010,"2,247.76","2,249.08",1
7/14/2010,"2,246.99","2,249.84",1
7/13/2010,"2,221.25","2,242.03",1
7/12/2010,"2,194.12","2,198.36",1
7/9/2010,"2,174.20","2,196.45",1
7/8/2010,"2,174.96","2,175.40",1
7/7/2010,"2,099.66","2,159.47",1
7/6/2010,"2,122.28","2,093.88",0
7/2/2010,"2,105.50","2,091.79",0
7/1/2010,"2,110.75","2,101.36",0
6/30/2010,"2,134.03","2,109.24",0
6/29/2010,"2,183.92","2,135.18",0
6/28/2010,"2,227.43","2,220.65",0
6/25/2010,"2,224.73","2,223.48",0
6/24/2010,"2,246.20","2,217.42",0
6/23/2010,"2,264.41","2,254.23",0
6/22/2010,"2,296.83","2,261.80",0
6/21/2010,"2,341.11","2,289.09",0
6/18/2010,"2,308.94","2,309.80",1
6/17/2010,"2,316.59","2,307.16",0
6/16/2010,"2,293.56","2,305.93",1
6/15/2010,"2,256.48","2,305.88",1
6/14/2010,"2,263.66","2,243.96",0
6/11/2010,"2,199.40","2,243.60",1
6/10/2010,"2,188.71","2,218.71",1
6/9/2010,"2,184.78","2,158.85",0
6/8/2010,"2,176.07","2,170.57",0
6/7/2010,"2,226.60","2,173.90",0
6/4/2010,"2,257.05","2,219.17",0
6/3/2010,"2,285.76","2,303.03",1
6/2/2010,"2,234.59","2,281.07",1
6/1/2010,"2,244.79","2,222.33",0
